Product_ID	Product_Info	Price	Country

ESTATE SALE - Lot of Old Vintage BASKETBALL Cards In Unopened Packs 	Brand New	$19.49	United States

Card Grading / Centering tool Gem Mint for PSA / BGS / TCG Pokï¿½mon  w FreeGift	Brand New	$6.95	Canada

1990 Hoops MARK JACKSON Knicks Basketball REPRINT Menendez Brothers Courtside	--------	$2.95	United States

New Listing1992 MICHAEL JORDAN SKYBOX Basketball Card Sick Hot Dunk  perfect 10	Brand New	$550.00	United States

Basketball Card LIQUIDATION- LOT OF NEW OLD VINTAGE UNOPENED BKB CARDS IN PACKS	Brand New	$19.98	United States

New Listing2019-20 Donruss Rated Rookie Zion Williamson Base #201 RC Pelicans	Brand New	$31.06	Australia

New ListingGREATEST KARL MALONE LOT OF 100 GAME USED/RARE INSERTS/BEAM TEAM/DIE CUTS $600BV	Pre-Owned	$0.77	Australia

New ListingOne each 1985 Star 5x7 factory sealed basketball sets, Bird, Kareem, Isiah	Brand New	$10.00	United States

2020 Contenders Basketball Draft Picks Value Pack.	Brand New	$1.54	United States

New Listing2019-20 Panini Mosaic MVPs Green Mosaic Prizm #298 LeBron James	Pre-Owned	$0.99	United States

New Listing2007-08 Topps NBA Basketball *3 Packs* Durant Rookie Year. Mint. UNOPENED 	Brand New	$7.90	United States

2021 Basketball NBA MYSTERY PACK NBA 3 Hits/2 RCs - Jersey RC Patch Auto	Pre-Owned	$23.49	United States

New Listing2019-20 Panini Prizm Basketball SS-COX #/15 Sennsational Signatures Auto Green 	Brand New	$0.99	United States

New ListingOG ANUNOBY 2019-20 MOSAIC KOBE BRYANT REDEMPTION PACK PURPLE SNAKESKIN /24 	Brand New	$1.00	Hong Kong

ESTATE SALE - Vintage Unopened BASKETBALL Cards In Factory Sealed Packs	Brand New	$26.49	United States

Tyrese Haliburton 2020-21 Panini NBA Tip-Off #9 Basketball Rookie Card 1 of 617	Brand New	$19.95	United States

"New ListingMichael Jordan ""1986 Fleer Sticker Rookie"" #8 Basketball CardSUPER HOT CARD"	Brand New	$525.00	United States

Estate Sale - Vintage NBA Basketball Cards in Factory Sealed Packs	Brand New	$38.99	United States

New ListingWilson NCAA Composite Leather black basketball wtb6791 0701	Pre-Owned	$7.99	United States

2018-19 Donruss Basketball Rookie Card RC Singles - You Choose	Brand New	$0.99 to $13.99	United States

2020 Optic Silver Winner Stays And Panini Prizm Silver HAKEEM AKEEM OLAJUWON	Brand New	$1.50	United States

New Listing2020-21 Panini Prizm Draft Picks Obi Toppin Silver Rookie #7	Brand New	$0.99	United States

Collector's Choice Upper Deck 1996 NBA Basketball ' 96-97 Series/2 Series 301-400	Pre-Owned	$2.42 to $60.74	Germany

2019-20 Panini Prizm Rookie Penmanship #8 Cameron Johnson RC BGS 9 w/ 10 AUTO	Brand New	$0.99	United States

basketball cards	Pre-Owned	$3.00	United States

NBA 12 Card Pack! Guaranteed 3 Autograph / Game Used Jersey Cards Basketball	Brand New	$13.50	Hong Kong

New Listing2019-20 Donruss Optic T Minus 3 2 1 Silver Prizm #9 LeBron James	Pre-Owned	$2.25	United States

New Listing2019-20 Panini Mosaic MVPs Silver Prizm #297 Giannis Antetokounmpo	Pre-Owned	$0.99	United States

2019/20 Panini CONTENDERS Basketball EXCLUSIVE Sealed Blaster Box-AUTO/MEM	Brand New	$199.95	United States

New Listing2019-20 Panini Mosaic USA Silver Mosaic Prizm #251 Kevin Durant	Pre-Owned	$0.99	United States

Panini NBA Prestige Basketball Blaster Box 2017/18 Exclusive Micro-Etch Rookies	Brand New	$120.29	Germany

(4) 2018-19 PANINI SELECT RC #95 x3, #192 x1 MIKAL BRIDGES	Pre-Owned	$0.99	Taiwan

2018/19 Panini Threads Basketball Factory Sealed Blaster Box-3 Rookies Icons!	Brand New	$299.95	United States

2017-18 PANINI PRIZM RC #275 FRANK NTILIKINA SILVER PRIZM	Pre-Owned	$0.99	Taiwan

New ListingNIKE Dominate Basketball	Brand New	$27.44	United Kingdom

2017 Panini Hoops Jayson Tatum #253 PSA 10 #52012139	Brand New	$150.00	Canada

New Listing2019-20 Donruss Optic Winner Stays Purple Prizm #20 LeBron James	Pre-Owned	$0.99	United States

1 x UPPER DECK NBA BASKETBALL CARD PACKET - (Choose Your Packet)	Brand New	$3.11 to $17.08	Australia

"New ListingMichael Jordan ""1985 ROOKIE Slam Dunk Contest"" #5 Basketball Card HOT HOT"	Brand New	$525.00	United States

2019-20 Panini Illusions 12-Card Value Hanger Packs - Free Shipping OBO	New (Other)	$15.06	Canada

New ListingKobe Bryant 2005-06 Topps #69 Near Mint Basketball Trading Cards	Brand New	$7.13	United States

*READ* 2020 Panini Prizm Draft Picks Choice NBA One Hobby Box Random Break #2	Brand New	$14.00	United States

2020 Panini Prizm NBA Draft Picks Fast Break One Box Random Team Break #4 READ	Brand New	$12.00	United States

2018-19 Panini Spectra Basketball Card Pick	Brand New	$2.00 to $15.00	United States

Michael Jordan 1985 STAR Gatorade #7 RC! HOF! The Last Dance! Perfect! $! 	Brand New	$50.00	United States

Upper Deck 23 Nights Michael Jordan Experience Box Set 1996-97 Basketball NBA	Brand New	$108.14	Germany

New Listing2004 Topps Basketball LeBron James #23 BGS 9 MINT	--------	$0.99	United States

Basketball glowing in dark size 7	Brand New	$72.90	Israel

1 x FLEER ULTRA NBA BASKETBALL CARD PACKET - (Choose Your Packet)	Brand New	$6.21 to $23.30	Australia

New Listing2019-20 Panini Prizm Basketball #8 Kobe Bryant Lot B	New (Other)	$0.99	United States

2006-07 Bowman Sterling Basketball YOU PICK	Brand New	$1.44 to $5.76	United States

New Listing1986-87 Fleer Basketball #68 Karl Malone Utah Jazz RC Rookie HOF BGS 5 w/ 8.5	--------	$0.99	United States

2019-2020 Panini Chronicles NBA Basketball Blaster Box Fast Ship!	Brand New	$79.99	United States

New ListingKobe Bryant 2018-19 Prizm #15 Panini Near Mint Basketball Trading Cards	Brand New	$6.09	United States

2018-19 Prizm Basketball Rookie Card RC Singles - You Choose	--------	$0.99 to $13.99	United States

New Listing1986 Fleer Basketball #126 Kevin Willis Atlanta Hawks RC Rookie PSA 10 GEM MINT	--------	$0.99	United States

New Listing2019 Panini Prizm Orange Ice Trae Young #31 PSA 10 GEM MINT	--------	$2.25	United States

New Listing1986 Fleer Basketball #38 Mike Gminski Nets PSA 10 GEM MINT	--------	$20.50	United States

New Listing1975 Topps Basketball #326 St. Louis Spirits Checklist PSA 9 MINT	--------	$0.99	United States

New Listing1986 Fleer Basketball #100 Purvis Short Warriors PSA 10 GEM MINT	--------	$1.04	United States

New Listing2018 Panini Status 142 Trae Young Aqua RC Rookie  GEM MINT Low Pop	Brand New	$129.00	United States

2019 - 2020 Panini Prizm Basketball Draft Picks Rookie Cards - PICK YOUR CARDS!	New (Other)	$0.78 to $19.80	Canada

